"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
1.588,"*Cc1cc(OC)c(O)c([N+](=O)[O-])c1",1,"COc1cc(C)cc([N+](=O)[O-])c1O",183.16299999999998,"[H]Oc1c(OC([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1[N+](=O)[O-]"
1.574,"*c1cccs1",1,"c1ccsc1",84.14299999999999,"[H]c1sc([H])c([H])c1[H]"
2,"*Cc1ccc(O)c(OC)c1",1,"COc1cc(C)ccc1O",138.166,"[H]Oc1c([H])c([H])c(C([H])([H])[H])c([H])c1OC([H])([H])[H]"
-0.163,"*C1CCC(*)C1=O",1,"O=C1CCCC1",84.11800000000001,"[H]C1([H])C(=O)C([H])([H])C([H])([H])C1([H])[H]"
-0.351,"*C/C=C/N(C)C",1,"C/C=C/N(C)C",85.14999999999999,"[H]/C(=C(/[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]"
1.354,"*C/C=C/C=C/C(=C(/C(C)=O)C(=O)OC)N(C)C",1,"C/C=C/C=C/C(=C(/C(C)=O)C(=O)OC)N(C)C",237.29899999999998,"[H]C(=C([H])\C(=C(/C(=O)OC([H])([H])[H])C(=O)C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H])/C([H])=C(\[H])C([H])([H])[H]"
0.174,"*C(=O)Cn1ncc2c(C)n(*)c(C)c2c1=O",1,"Cc1[nH]c(C)c2c(=O)n(CC=O)ncc12",205.21699999999998,"[H]C(=O)C([H])([H])n1nc([H])c2c(C([H])([H])[H])n([H])c(C([H])([H])[H])c2c1=O"
1.163,"*Nc1ccc([N+](=O)[O-])cc1",1,"Nc1ccc([N+](=O)[O-])cc1",138.126,"[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1N([H])[H]"
1.071,"*N/N=C/c1ccc(OCC(*)=O)cc1",1,"N/N=C/c1ccc(OCC=O)cc1",178.191,"[H]C(=O)C([H])([H])Oc1c([H])c([H])c(/C([H])=N/N([H])[H])c([H])c1[H]"
2.045,"*C(=O)COc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1",1,"O=CCOc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1",298.298,"[H]Oc1c([H])c([H])c(C(=O)N([H])/N=C(\[H])c2c([H])c([H])c(OC([H])([H])C([H])=O)c([H])c2[H])c([H])c1[H]"
1.548,"*C(=O)CSc1ccsc1[N+](=O)[O-]",1,"O=CCSc1ccsc1[N+](=O)[O-]",203.24399999999997,"[H]C(=O)C([H])([H])Sc1c([N+](=O)[O-])sc([H])c1[H]"
1.659,"*c1cc2oc(=O)c(*)cc2cc1OC",1,"COc1ccc2oc(=O)ccc2c1",176.171,"[H]c1c(OC([H])([H])[H])c([H])c2c([H])c([H])c(=O)oc2c1[H]"
2.426,"*Nc1c(F)c(F)cc(F)c1F",1,"Nc1c(F)c(F)cc(F)c1F",165.08899999999997,"[H]c1c(F)c(F)c(N([H])[H])c(F)c1F"
2.89,"*Cc1ccccc1F",1,"Cc1ccccc1F",110.131,"[H]c1c([H])c([H])c(C([H])([H])[H])c(F)c1[H]"
