"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
2.32,"F9995-2605","N#CCC1CCCCC1",123.19900000000001,"[H]C([H])(C#N)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.154,"F2147-1731","O=C(Nc1cccnc1)OCC(F)(F)F",220.14999999999992,"[H]c1nc([H])c(N([H])C(=O)OC([H])([H])C(F)(F)F)c([H])c1[H]"
2.11,"F2189-0613","FC(F)(F)CNCc1ccsc1",195.20900000000003,"[H]c1sc([H])c(C([H])([H])N([H])C([H])([H])C(F)(F)F)c1[H]"
1.168,"F2148-0254","COC(C#N)c1ccsc1",153.206,"[H]c1sc([H])c(C([H])(C#N)OC([H])([H])[H])c1[H]"
1.868,"F2158-0123","CC(C)(C)OC(=O)N1CCN(CC#N)CC1",225.29199999999994,"[H]C([H])(C#N)N1C([H])([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]"
2.285,"F9995-0220","CCc1c(C(=O)c2cc(C)cc(C)c2)[nH]c(=O)[nH]c1=O",272.30400000000003,"[H]c1c(C(=O)c2c(C([H])([H])C([H])([H])[H])c(=O)n([H])c(=O)n2[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]"
2.381,"F8882-0798","N#CCCNc1cccc(Br)c1",225.08899999999997,"[H]c1c([H])c(Br)c([H])c(N([H])C([H])([H])C([H])([H])C#N)c1[H]"
0.349,"F1386-0087","COC(=O)C1SCCC1=N",159.21,"[H]N=C1C([H])(C(=O)OC([H])([H])[H])SC([H])([H])C1([H])[H]"
1.244,"F2146-0687","CC(=O)Nc1cccs1",141.19499999999996,"[H]c1sc(N([H])C(=O)C([H])([H])[H])c([H])c1[H]"
1.89,"F1967-2383","COc1ccc2c(c1)OCO2",152.14899999999997,"[H]c1c([H])c2c(c([H])c1OC([H])([H])[H])OC([H])([H])O2"
1.428,"F1967-4132","Cc1nc(-c2ccsc2)cc(=O)[nH]1",192.243,"[H]c1sc([H])c(-c2nc(C([H])([H])[H])n([H])c(=O)c2[H])c1[H]"
2.171,"F5865-0202","O=C(Nc1ccc(Cl)cc1)c1ncccn1",233.65800000000002,"[H]c1nc(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2[H])nc([H])c1[H]"
1.34,"F2189-0571","NCC(O)c1cccc2ccccc12",187.242,"[H]OC([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])N([H])[H]"
0.73,"F2189-0007","CC(N)Cc1ccco1",125.17099999999996,"[H]c1oc(C([H])([H])C([H])(N([H])[H])C([H])([H])[H])c([H])c1[H]"
-1.444,"F2173-0036","O=C1CCCNCC1",113.16000000000001,"[H]N1C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C1([H])[H]"
0.851,"F2199-0017","COC(=O)c1ccc2nc(N)cn2c1",191.19,"[H]c1c(C(=O)OC([H])([H])[H])c([H])n2c([H])c(N([H])[H])nc2c1[H]"
2.416,"F3240-0124","c1csc(-c2ccno2)c1",151.19,"[H]c1noc(-c2sc([H])c([H])c2[H])c1[H]"
-0.208,"F2147-0151","NCCn1cccc1",110.15999999999995,"[H]c1c([H])c([H])n(C([H])([H])C([H])([H])N([H])[H])c1[H]"
0.87,"F2106-0149","Nc1ccc2occc(=O)c2c1",161.16,"[H]c1oc2c([H])c([H])c(N([H])[H])c([H])c2c(=O)c1[H]"
2.294,"F1913-0654","FC(F)(F)c1cccc(C2=CCNCC2)n1",228.21699999999996,"[H]C1=C(c2nc(C(F)(F)F)c([H])c([H])c2[H])C([H])([H])C([H])([H])N([H])C1([H])[H]"
